# wavelength_um flux err
2.297150373458862305e+00 1.374517798423767090e+00 2.892924100160598755e-02
2.297169685363769531e+00 1.300328135490417480e+00 3.381821140646934509e-02
2.297188997268676758e+00 1.350650668144226074e+00 4.030632972717285156e-02
2.297208547592163086e+00 1.292278409004211426e+00 3.018991649150848389e-02
2.297228097915649414e+00 1.357198953628540039e+00 4.077934473752975464e-02
2.297247648239135742e+00 1.405650615692138672e+00 3.693051636219024658e-02
2.297267198562622070e+00 1.320624709129333496e+00 3.727525100111961365e-02
2.297286510467529297e+00 1.273903489112854004e+00 4.823834821581840515e-02
2.297306060791015625e+00 1.252337932586669922e+00 4.272491857409477234e-02
2.297325611114501953e+00 1.186292886734008789e+00 3.175063431262969971e-02
2.297345161437988281e+00 1.061321020126342773e+00 3.780182451009750366e-02
2.297364473342895508e+00 9.925322532653808594e-01 3.445128723978996277e-02
2.297383785247802734e+00 9.959616661071777344e-01 3.376370295882225037e-02
2.297403335571289062e+00 1.144792675971984863e+00 4.747879505157470703e-02
2.297422885894775391e+00 8.656826615333557129e-01 3.165675699710845947e-02
2.297442436218261719e+00 5.152368545532226562e-01 3.522121533751487732e-02
2.297461748123168945e+00 5.334938168525695801e-01 3.439562395215034485e-02
2.297481298446655273e+00 7.620530724525451660e-01 3.031523711979389191e-02
2.297500848770141602e+00 9.275829195976257324e-01 3.832073509693145752e-02
2.297520160675048828e+00 1.088204383850097656e+00 3.397690132260322571e-02
2.297539710998535156e+00 1.080591201782226562e+00 3.108812868595123291e-02
2.297559261322021484e+00 1.143756389617919922e+00 3.990350291132926941e-02
2.297578811645507812e+00 1.284944772720336914e+00 3.131128475069999695e-02
2.297598123550415039e+00 1.291307449340820312e+00 3.999392315745353699e-02
2.297617435455322266e+00 1.232653737068176270e+00 4.323605075478553772e-02
2.297636985778808594e+00 1.335861086845397949e+00 4.825101047754287720e-02
2.297656297683715820e+00 1.383459091186523438e+00 3.965965658426284790e-02
2.297675848007202148e+00 1.353721022605895996e+00 3.455585986375808716e-02
2.297695398330688477e+00 1.455456614494323730e+00 4.469380527734756470e-02
2.297714710235595703e+00 1.202584385871887207e+00 3.624554723501205444e-02
2.297734260559082031e+00 1.088941335678100586e+00 4.186558350920677185e-02
2.297753810882568359e+00 9.656178951263427734e-01 4.289929568767547607e-02
2.297773361206054688e+00 1.090444564819335938e+00 4.519312828779220581e-02
2.297792673110961914e+00 1.166017770767211914e+00 2.955612167716026306e-02
2.297812223434448242e+00 9.929911494255065918e-01 3.586886078119277954e-02
2.297831296920776367e+00 9.479421377182006836e-01 2.868627011775970459e-02
2.297850847244262695e+00 1.171618580818176270e+00 3.008928894996643066e-02
2.297870397567749023e+00 1.242230653762817383e+00 3.804865106940269470e-02
2.297889709472656250e+00 1.192657947540283203e+00 3.707864508032798767e-02
2.297909259796142578e+00 1.158290743827819824e+00 4.040653258562088013e-02
2.297928810119628906e+00 9.624521136283874512e-01 2.301874198019504547e-02
2.297948122024536133e+00 9.787290692329406738e-01 2.354005165398120880e-02
2.297967672348022461e+00 9.492540359497070312e-01 3.817648068070411682e-02
2.297987222671508789e+00 1.008995771408081055e+00 3.933993726968765259e-02
2.298006534576416016e+00 9.611404538154602051e-01 4.297417402267456055e-02
2.298026084899902344e+00 9.005026817321777344e-01 4.669613763689994812e-02
2.298045158386230469e+00 5.374335646629333496e-01 4.527328908443450928e-02
2.298064708709716797e+00 3.757847249507904053e-01 3.309465572237968445e-02
2.298084259033203125e+00 4.524922072887420654e-01 3.984428197145462036e-02
2.298103570938110352e+00 7.413143515586853027e-01 4.437368363142013550e-02
2.298123121261596680e+00 9.412856698036193848e-01 3.819004073739051819e-02
2.298142433166503906e+00 1.080230832099914551e+00 3.416342288255691528e-02
2.298161983489990234e+00 1.057955980300903320e+00 3.662390634417533875e-02
2.298181533813476562e+00 1.059576630592346191e+00 4.092324152588844299e-02
2.298200845718383789e+00 1.046766519546508789e+00 4.538569971919059753e-02
2.298220396041870117e+00 7.557806372642517090e-01 2.701904252171516418e-02
2.298239707946777344e+00 7.182975411415100098e-01 3.242192417383193970e-02
2.298259258270263672e+00 9.465201497077941895e-01 3.542334213852882385e-02
2.298278331756591797e+00 1.248556733131408691e+00 2.958919107913970947e-02
2.298297882080078125e+00 1.188136339187622070e+00 2.258165739476680756e-02
2.298317432403564453e+00 1.324235796928405762e+00 2.767676301300525665e-02
2.298336744308471680e+00 1.228133320808410645e+00 3.300919756293296814e-02
2.298356294631958008e+00 1.078085184097290039e+00 5.476725101470947266e-02
2.298375606536865234e+00 1.088824868202209473e+00 4.174142703413963318e-02
2.298395156860351562e+00 1.075223445892333984e+00 3.539779782295227051e-02
2.298414468765258789e+00 9.250369071960449219e-01 5.587697774171829224e-02
2.298434019088745117e+00 1.218476653099060059e+00 2.675046585500240326e-02
2.298453330993652344e+00 1.324710369110107422e+00 3.633484989404678345e-02
2.298472881317138672e+00 1.343579173088073730e+00 3.983212634921073914e-02
2.298491954803466797e+00 1.209887504577636719e+00 4.378594458103179932e-02
2.298511505126953125e+00 1.139789700508117676e+00 2.311501465737819672e-02
2.298530817031860352e+00 1.081884503364562988e+00 4.507747665047645569e-02
2.298550367355346680e+00 1.001910328865051270e+00 3.902696073055267334e-02
2.298569679260253906e+00 1.012773394584655762e+00 4.781239107251167297e-02
2.298589229583740234e+00 9.886825084686279297e-01 3.728127479553222656e-02
2.298608541488647461e+00 9.272989034652709961e-01 5.169269815087318420e-02
2.298628091812133789e+00 8.552683591842651367e-01 4.024536162614822388e-02
2.298647403717041016e+00 7.297605276107788086e-01 4.402687773108482361e-02
